"Step","Species","AdultAbsDen","simMean","pval","signif"
1,"ABCO",13,8.622225,2.80826683698378e-17,"Sig"
6,"ABCO",16,8.788891,3.97785530930642e-17,"Sig"
12,"ABCO",17,8.488889,1.89068505154918e-15,"Sig"
17,"ABCO",17,8.288888,2.78195805196333e-15,"Sig"
22,"ABCO",18,7.933333,1.28124733477932e-15,"Sig"
27,"ABCO",16,7.466666,3.90794195586438e-14,"Sig"
32,"ABCO",11,7.222222,5.35885721185225e-11,"Sig"
1,"CADE",3,0,0,"Sig"
6,"CADE",3,0,0,"Sig"
12,"CADE",5,0,0,"Sig"
17,"CADE",5,0,0,"Sig"
22,"CADE",10,0,0,"Sig"
27,"CADE",12,0,0,"Sig"
32,"CADE",15,0,0,"Sig"
1,"PIJE",140,55.41111,9.7243175633978e-25,"Sig"
6,"PIJE",131,54.19999,6.5088758055157e-20,"Sig"
12,"PIJE",124,52.27776,3.43779101661855e-18,"Sig"
17,"PIJE",114,50.98889,4.23765943401579e-17,"Sig"
22,"PIJE",104,51.08887,2.68321653734775e-16,"Sig"
27,"PIJE",101,50.34445,3.21432052378896e-16,"Sig"
32,"PIJE",97,50.04443,6.98989171708715e-16,"Sig"
1,"PILA",4,0.9666667,2.73399765779319e-17,"Sig"
6,"PILA",4,0.9555553,1.52137649381557e-13,"Sig"
12,"PILA",3,0.9444441,1.09720366336713e-10,"Sig"
17,"PILA",2,0.9999994,2.07899754859788e-08,"Sig"
22,"PILA",2,1.0111105,1.83071503849228e-08,"Sig"
27,"PILA",2,0.9111109,9.06238147146846e-09,"Sig"
32,"PILA",2,0.8,1.13366796200808e-08,"Sig"
1,"PIMO",1,0,0,"Sig"
6,"PIMO",1,0,0,"Sig"
12,"PIMO",1,0,0,"Sig"
17,"PIMO",1,0,0,"Sig"
1,"QUKE",16,3.844446,2.86455248970562e-21,"Sig"
6,"QUKE",19,3.788891,2.68539963277528e-19,"Sig"
12,"QUKE",60,3.855555,8.73959599437158e-22,"Sig"
17,"QUKE",97,3.811112,1.05255080573556e-22,"Sig"
22,"QUKE",95,4.199999,1.40354168799334e-22,"Sig"
27,"QUKE",107,4.622222,2.45673969662114e-23,"Sig"
32,"QUKE",121,5.011113,6.89158710317317e-24,"Sig"
