"Step","Species","AdultAbsDen","simMean","dixonPval","tTestPval","dSig","tsig"
1,"ABCO",8,30.4,0,2.25652158032586e-13,"Sig","Sig"
6,"ABCO",9,73.5333333333333,0,7.00755937789325e-19,"Sig","Sig"
12,"ABCO",9,98.0666666666667,0,2.48190535702548e-15,"Sig","Sig"
17,"ABCO",9,113.2,0,3.28913136580941e-17,"Sig","Sig"
22,"ABCO",9,125.133333333333,0,4.08573096018776e-16,"Sig","Sig"
27,"ABCO",8,138.133333333333,0,9.70128586732038e-17,"Sig","Sig"
32,"ABCO",6,152.133333333333,0,5.67475521652978e-17,"Sig","Sig"
17,"CADE",1,2.2,0.110767656131082,9.02316149040046e-07,"NS","Sig"
22,"CADE",2,2.13333333333333,0.110767656131082,0.334281943394657,"NS","NS"
27,"CADE",3,1.86666666666667,0.110767656131082,6.71495058831298e-07,"NS","Sig"
32,"CADE",4,1.73333333333333,0,6.13994552335695e-10,"Sig","Sig"
1,"PIJE",55,139.2,0,1.15041243964015e-25,"Sig","Sig"
6,"PIJE",47,141.4,0,6.0204927920661e-22,"Sig","Sig"
12,"PIJE",43,139,0,3.87168552616574e-21,"Sig","Sig"
17,"PIJE",40,139,0,2.64443705086497e-20,"Sig","Sig"
22,"PIJE",35,137.733333333333,0,1.11381638178637e-18,"Sig","Sig"
27,"PIJE",36,137.733333333333,0,1.03540659682612e-18,"Sig","Sig"
32,"PIJE",38,136.733333333333,0,7.59261928535679e-19,"Sig","Sig"
1,"PILA",1,4.13333333333333,0,1.19595976620968e-12,"Sig","Sig"
6,"PILA",2,4.06666666666667,0.622063998847332,1.97785707249841e-06,"NS","Sig"
12,"PILA",1,3.73333333333333,0,3.54386558871206e-06,"Sig","Sig"
17,"PILA",1,3.4,0,2.95272767023785e-06,"Sig","Sig"
22,"PILA",1,3.33333333333333,0.942024791709002,9.81445971145274e-06,"NS","Sig"
27,"PILA",1,3.13333333333333,0,8.38197150482462e-07,"Sig","Sig"
32,"PILA",1,3,0,4.25217296893952e-06,"Sig","Sig"
1,"QUKE",3,15.8666666666667,0,3.60047361620807e-21,"Sig","Sig"
6,"QUKE",3,15.2666666666667,0,5.79558933618886e-16,"Sig","Sig"
12,"QUKE",4,14.3333333333333,0,5.49623506744454e-16,"Sig","Sig"
17,"QUKE",5,13.5333333333333,0.0181639033888329,7.24312762760739e-13,"Sig","Sig"
22,"QUKE",5,13.2666666666667,0,2.65299994945076e-14,"Sig","Sig"
27,"QUKE",8,12.8666666666667,0.110767656131082,3.11856016622472e-08,"NS","Sig"
32,"QUKE",8,11.8,0.264427112138497,6.54077033965781e-06,"NS","Sig"
