"Step","Species","SaplAbsDen","simMean","dixonPval","tTestPval","dSig","tsig"
1,"ABCO",388,251.556,0,1,"Sig","NS"
7,"ABCO",401,252.0887,0,1.13177676799108e-21,"Sig","Sig"
13,"ABCO",402,299.8222,0,3.63944556608762e-12,"Sig","Sig"
18,"ABCO",429,528.089,0,1.06957609839465e-10,"Sig","Sig"
23,"ABCO",414,1017.7784,0,7.03038029416284e-14,"Sig","Sig"
28,"ABCO",388,0,1,1,"NS","NS"
1,"ABMA",1,0.888889,0,1,"Sig","NS"
7,"ABMA",1,0.888889,0,1,"Sig","NS"
13,"ABMA",2,0.888889,0,1,"Sig","NS"
18,"ABMA",2,0.888889,0,1,"Sig","NS"
23,"ABMA",2,0.888889,0,1,"Sig","NS"
28,"ABMA",1,0,1,1,"NS","NS"
1,"CADE",38,23.1111,0,1,"Sig","NS"
7,"CADE",37,23.46666,0,2.64630929850503e-12,"Sig","Sig"
13,"CADE",49,24.8889,0,1.11712008521288e-12,"Sig","Sig"
18,"CADE",67,29.59998,0,2.28705395347432e-12,"Sig","Sig"
23,"CADE",81,38.75555,0,7.22458974177382e-12,"Sig","Sig"
28,"CADE",78,0,1,1,"NS","NS"
1,"PILA",118,63.91111,0,4.45175423909624e-22,"Sig","Sig"
7,"PILA",116,64,0,5.21780578429983e-19,"Sig","Sig"
13,"PILA",89,66.84445,0,2.06256086885853e-11,"Sig","Sig"
18,"PILA",69,73.24447,0.00580295940503844,0.00102328853945573,"Sig","Sig"
23,"PILA",42,83.82223,0,2.324159213767e-10,"Sig","Sig"
28,"PILA",37,0,1,1,"NS","NS"
1,"PIPO",2,0.888889,0,1,"Sig","NS"
7,"PIPO",1,0.888889,0,1,"Sig","NS"
1,"QUKE",4,0.888889,0,1,"Sig","NS"
7,"QUKE",6,0.888889,0,1,"Sig","NS"
13,"QUKE",16,0.888889,0,1,"Sig","NS"
18,"QUKE",26,0.888889,0,1,"Sig","NS"
23,"QUKE",31,0.888889,0,1,"Sig","NS"
28,"QUKE",26,0,1,1,"NS","NS"
