"Step","Species","SdlAbsDen","simMean","dixonPval","tTestPval","dSig","tsig"
1,"ABCO",736,190.5777,0,3.70621363678997e-18,"Sig","Sig"
7,"ABCO",698,1303.999,0,3.26321200157459e-15,"Sig","Sig"
13,"ABCO",627,2326.933,0,4.86388637907255e-16,"Sig","Sig"
18,"ABCO",985,2965.422,0,1.24843293250949e-15,"Sig","Sig"
19,"ABCO",25,3060.889,0,9.42294770188383e-17,"Sig","Sig"
20,"ABCO",56,3147.465,0,4.42849832686817e-16,"Sig","Sig"
21,"ABCO",18,3217.067,0,3.50267226271925e-16,"Sig","Sig"
22,"ABCO",16,3274.399,0,3.52706047750942e-16,"Sig","Sig"
23,"ABCO",723,3321.866,0,3.2854460403105e-15,"Sig","Sig"
24,"ABCO",14,3365.42,0,5.90443469019749e-16,"Sig","Sig"
25,"ABCO",4,3395.555,0,1.12498626843262e-15,"Sig","Sig"
27,"ABCO",2,0,1,1,"NS","NS"
28,"ABCO",539,0,1,1,"NS","NS"
29,"ABCO",28,0,1,1,"NS","NS"
30,"ABCO",32,0,1,1,"NS","NS"
31,"ABCO",28,0,1,1,"NS","NS"
32,"ABCO",8,0,1,1,"NS","NS"
1,"ABMA",3,0,0,0,"Sig","Sig"
7,"ABMA",3,0,0,0,"Sig","Sig"
13,"ABMA",2,0,0,0,"Sig","Sig"
18,"ABMA",2,0,0,0,"Sig","Sig"
19,"ABMA",1,0,0,0,"Sig","Sig"
22,"ABMA",2,0,0,0,"Sig","Sig"
23,"ABMA",2,0,0,0,"Sig","Sig"
28,"ABMA",2,0,1,1,"NS","NS"
1,"CADE",137,3.3777779,0,8.71108677384374e-19,"Sig","Sig"
7,"CADE",135,19.11112,0,1.59701217102842e-17,"Sig","Sig"
13,"CADE",123,34.22223,0,1.05513247382214e-12,"Sig","Sig"
18,"CADE",105,44.44446,0,2.25157621635323e-10,"Sig","Sig"
19,"CADE",3,45.15555,0.0208998000501931,1.7010347745367e-08,"Sig","Sig"
21,"CADE",631,45.77777,0,4.4177182631684e-18,"Sig","Sig"
22,"CADE",3,47.2889,0.00944561598224186,6.58952930237586e-08,"Sig","Sig"
23,"CADE",130,47.73334,0,1.42359320872034e-10,"Sig","Sig"
24,"CADE",33,48.80001,0.542128087704188,5.69865964032199e-05,"NS","Sig"
25,"CADE",3,50.57778,0.016348324543779,1.14097251568833e-08,"Sig","Sig"
26,"CADE",34,0,1,1,"NS","NS"
27,"CADE",1,0,1,1,"NS","NS"
28,"CADE",127,0,1,1,"NS","NS"
29,"CADE",6,0,1,1,"NS","NS"
30,"CADE",2,0,1,1,"NS","NS"
32,"CADE",2,0,1,1,"NS","NS"
1,"PILA",194,2.2222246,0,2.43132829788182e-21,"Sig","Sig"
7,"PILA",180,20.000009,0,7.12688024117964e-15,"Sig","Sig"
13,"PILA",136,32.35557,0,2.02973936296383e-12,"Sig","Sig"
18,"PILA",132,37.06666,0,1.90397700541854e-12,"Sig","Sig"
19,"PILA",9,37.42223,0.00534899876638159,9.68998143302593e-08,"Sig","Sig"
20,"PILA",5,36.97778,0.0177866077736156,1.46098210221952e-08,"Sig","Sig"
21,"PILA",3,36.88887,0.0290327393828133,3.36198694464617e-08,"Sig","Sig"
22,"PILA",5,37.15555,0.0616383209625147,1.14834956260369e-07,"NS","Sig"
23,"PILA",84,37.24445,0.0194375131410198,8.72359603191693e-09,"Sig","Sig"
24,"PILA",5,37.06666,0.0433394562286854,2.43949976821607e-07,"Sig","Sig"
25,"PILA",205,36.26666,0,1.98866932440664e-13,"Sig","Sig"
26,"PILA",20,0,1,1,"NS","NS"
27,"PILA",3,0,1,1,"NS","NS"
28,"PILA",74,0,1,1,"NS","NS"
30,"PILA",6,0,1,1,"NS","NS"
1,"PIPO",2,0,0,0,"Sig","Sig"
7,"PIPO",1,0,0,0,"Sig","Sig"
26,"PIPO",4,0,1,1,"NS","NS"
28,"PIPO",1,0,1,1,"NS","NS"
1,"QUKE",63,0,0,0,"Sig","Sig"
7,"QUKE",61,0.3555559,0,3.68322648201046e-18,"Sig","Sig"
13,"QUKE",50,0.3555559,0,2.23025201132287e-17,"Sig","Sig"
18,"QUKE",34,0.4444448,0,7.9773216738241e-16,"Sig","Sig"
19,"QUKE",1,0.4444448,0.0246136374646128,0.0724973884236331,"Sig","NS"
20,"QUKE",1,0.4444448,0.0246136374646128,0.0724973884236331,"Sig","NS"
21,"QUKE",2,0.4444448,0.0246136374646128,0.000296397429382998,"Sig","Sig"
22,"QUKE",6,0.4444448,0,7.8342570558924e-09,"Sig","Sig"
23,"QUKE",41,0.4444448,0,1.45083454601848e-16,"Sig","Sig"
24,"QUKE",1,0.5333337,0.0246136374646128,0.119833932303537,"Sig","NS"
25,"QUKE",1,0.6222228,0.049999611373452,0.236388588218552,"Sig","NS"
26,"QUKE",5,0,1,1,"NS","NS"
27,"QUKE",3,0,1,1,"NS","NS"
28,"QUKE",37,0,1,1,"NS","NS"
29,"QUKE",8,0,1,1,"NS","NS"
